فلابربرسٹ	0.906
دھماکہ خیز مواد	0.883
گھات لگا کر حملہ	0.883
ڈر	0.875
حیرت انگیز بات ہے	0.875
پریشانی سے	0.875
دھواں	0.859
الارم	0.852
پھول	0.844
دھماکے	0.836
غیر متوقع طور پر	0.836
چراغ	0.836
شروع کرنا	0.828
خوف	0.828
ایمرجنسی	0.828
دنگا	0.820
جیکٹ	0.812
زلزلہ	0.812
چکت کرنا	0.805
پہلو	0.805
ابرسٹ	0.805
ڈراونا	0.797
بم	0.789
erupt	0.789
اعلان کریں	0.789
معجزہ	0.773
دھماکہ	0.773
خطرناک	0.773
چھاپے	0.773
اغوا	0.766
زبردست	0.758
ڈومفاؤنڈ	0.758
غلطی	0.750
فلنچ	0.742
بلٹز	0.742
ذبح	0.742
ہارر	0.742
بیڈرڈر	0.742
چوٹی	0.742
حادثہ	0.734
نسل پرستی	0.734
فرنٹک	0.734
دباؤ	0.727
ختم ہوگیا	0.727
چللاہٹ	0.727
تخریب	0.719
سانس لینے والا	0.719
چیخ	0.719
ٹوٹنا	0.719
غیر متوقع	0.711
بے شمار	0.711
برقی	0.711
چھٹکارا	0.711
گولی مار دی	0.711
ہمسھلن	0.711
گیس	0.711
تباہی	0.703
اچانک	0.703
غیر ضروری	0.703
سلیم	0.703
اضافے	0.703
انٹرویو	0.703
مشکوک	0.703
اتار چڑھاؤ	0.695
بے مثال	0.695
فوری	0.695
ہاں	0.695
ہڑتال	0.695
مصیبت	0.688
قتل عام	0.688
بیکار	0.680
تپپڑ	0.680
بدترین	0.680
کلمر	0.680
حیران کن	0.672
غلطی سے	0.672
حادثاتی	0.672
قبضہ	0.672
پرجوش	0.672
دہشت گرد	0.672
دلچسپ	0.672
گرانے	0.664
آتش فشاں	0.664
انقلاب	0.664
پاگل	0.664
غیر معقول	0.656
خون کا خون	0.656
سائیکل	0.648
پرتشدد	0.648
خلل	0.648
وبا	0.648
چلو	0.641
سکریچ	0.641
جنگل کی آگ	0.641
غیر منقولہ	0.641
اصلاحات	0.641
ظاہری شکل	0.633
اعزاز	0.633
جپ	0.633
غیر یقینی	0.633
لوٹ لو	0.633
tempest	0.625
چال	0.625
ذبح کرنا	0.625
بہت پرجوش	0.625
قاتل	0.625
تکلیف	0.625
اسرار	0.625
جلدی	0.617
چالاکی	0.617
شدید	0.617
غائب	0.617
قتل	0.617
اندرونی	0.617
مذاق	0.617
بغاوت	0.609
اندھیراہٹ	0.609
سپاش	0.609
چور	0.609
جادو	0.609
غیر مستحکم	0.609
توڑنا	0.609
حملہ	0.602
بیوکوف	0.602
دفاع کرنا	0.602
گندگی	0.602
جولی	0.602
سے نمٹنے	0.602
بیوقوف	0.594
شریر	0.594
بھوک	0.594
انتباہات	0.594
غلط	0.594
دھوکہ / فشنگ	0.586
پراسرار	0.586
مفلوج	0.586
بے ترتیب	0.586
بونس	0.586
جنگلی	0.586
نقصان	0.586
اجنبی	0.578
بجلی	0.578
موت	0.578
جیوبینٹ	0.578
godsend	0.578
بڑھ رہا ہے	0.578
وقت سے پہلے	0.578
انتقام	0.570
متحرک	0.570
ڈراپ	0.570
جھٹکا	0.562
گرویدہ کرنا	0.562
بے نقاب	0.562
انعام	0.562
ناپاک	0.562
دوبارہ ظاہر	0.562
ویسے	0.555
شکست	0.555
crescendo	0.555
زانی	0.555
thumumurgurgy	0.555
روشن کرنا	0.547
بچاؤ	0.547
tantalizing	0.547
فاتح	0.547
ہیروزم	0.547
شدیدی	0.547
اسباب	0.547
دھندلا	0.547
اڑایا	0.547
ختم	0.547
بدنام	0.539
غداری	0.539
پنچ	0.539
زندہ	0.539
برم	0.539
خوش قسمت	0.539
رکاوٹ	0.539
جشن	0.539
خلاف ورزی	0.539
خوف سے	0.531
چھپی ہوئی	0.531
بینجر	0.531
سنیگ	0.531
تعجب	0.523
ناپسندیدہ	0.523
ویز	0.523
دستبرداری	0.523
خوش ہوں	0.523
بہتر بنانا	0.523
بکتر	0.523
مظلوم	0.523
yelp	0.516
چپکے سے	0.516
ٹائل	0.516
موقع	0.516
کیسے	0.516
غیر جانبدار	0.508
سویرے	0.508
ریپلیکس	0.508
بڑھانا	0.508
پاپ	0.508
ٹرانسمیشن	0.508
لباس	0.508
قابل ذکر	0.500
خونی	0.500
شہوانی، شہوت انگیز	0.500
enliven	0.500
انتباہ	0.500
غلط استعمال کی اطلاع دیں	0.500
شرمندگی	0.500
ناقابل اعتماد	0.492
ناب	0.492
چھتری	0.492
ٹرم	0.492
فیصلہ	0.492
چیما	0.492
انتشار	0.492
سالگرہ	0.492
پرن	0.484
کم از کم	0.484
ہڈی	0.484
پرستار	0.484
ڈیمون	0.484
متغیر	0.484
تجسس	0.484
خوفناک	0.477
متنوع	0.477
عجیب	0.477
قسمت	0.477
گاک	0.477
غریب	0.477
چاکلیٹ	0.477
چھڑکیں	0.477
الیومینیشن	0.477
واقعہ	0.477
بدلاؤ	0.469
پروول	0.469
تیز رفتار	0.469
لیری	0.469
اتفاق	0.461
مزاحیہ	0.461
الگ الگ	0.461
وقفے	0.461
کهسکنا	0.461
چکما	0.453
جیتنا	0.453
اقرار	0.453
نظریات	0.453
تشہیر	0.453
مریم	0.453
چیلنج	0.453
ہنسی	0.445
شاندار	0.445
فیچر	0.445
ایکسل	0.445
جوا	0.445
بے حد	0.438
غیر معمولی	0.438
روشن	0.438
تبدیل	0.438
rapt	0.438
منفرد	0.438
شان	0.438
تحفہ	0.430
توجہ	0.430
ڈپریشن	0.430
فیسٹا	0.430
خوشی ہوئی	0.430
مقدمہ	0.430
تعطیل	0.430
چپکے	0.422
جادوگر	0.422
فوری طور پر	0.422
اصل میں	0.422
پہیلی	0.422
فیصلے	0.422
بدمعاش	0.414
سچائی	0.414
جھوٹی گواہی	0.414
روحانی	0.414
ناجائز	0.414
تجربہ	0.414
غصہ	0.406
حوصلہ افزائی	0.406
شوقین	0.406
آلات	0.406
پریڈ	0.406
پرنسپل	0.398
طلاق	0.398
اندازہ لگاؤ	0.398
burlesque	0.398
رازداری	0.398
عظمت	0.391
اطمینان	0.391
پیری	0.391
ہیروفروڈیٹ	0.391
ناممکن	0.391
وراثت	0.383
سکور	0.383
کھو	0.383
کنواری	0.383
بکس	0.383
قابل قدر	0.383
cadaver	0.383
گلپ	0.375
frisky	0.375
صوفیانہ	0.375
کامیاب	0.375
پیشگی	0.375
جوکر	0.367
جنسی	0.367
کھدائی	0.367
احساس	0.359
جواہرات	0.352
نئے آنے والا	0.352
ترمیم کریں	0.352
ایوارڈ	0.352
برکتیں	0.352
اعلان	0.352
بنو	0.352
حیرت انگیز	0.344
ہیرو	0.344
مشہور شخصیت	0.344
شروع کرو	0.344
سب سے زیادہ	0.344
مہارت	0.344
تعریف کرو	0.344
بے شک	0.336
یادگار	0.336
پاک	0.336
دوبارہ بازو	0.336
محتاج	0.336
تحلیل	0.336
گرین	0.336
تعریف	0.328
ہائپر ٹرافی	0.328
پکڑو	0.320
موجودہ	0.320
فرشتہ	0.320
امتحان	0.320
اشارہ	0.312
پما	0.312
بوسہ	0.312
گلے لگانا	0.312
کبھی کبھار	0.312
علاج کرو	0.312
سنت	0.312
مبتلا	0.312
برطرف	0.312
خوش آمدید	0.305
کمال	0.305
سخاوت	0.305
سنتری	0.305
سلیمان	0.305
خبردار	0.297
polarity	0.297
آخر میں	0.297
مختلف	0.297
صاف	0.297
تقریب	0.297
بڑا	0.297
مناسب	0.297
رومانوی	0.289
تمغے	0.289
مدعو کرنا	0.289
سلام	0.289
صاف گوئی	0.281
استعفی	0.281
سفر	0.281
آلودہ	0.281
مزدور	0.281
گھومنا	0.273
چمک	0.266
مدعو کریں	0.266
سوماکی	0.266
تعریف کرتے ہیں	0.266
لاپتہ	0.266
تہوار	0.266
نقل	0.266
معاوضہ	0.266
تعظیم	0.266
چنانچہ	0.266
تکمیل	0.258
وصول کرنا	0.258
نظریہ	0.258
ہنسنا	0.258
منہ دبا ہنسنا	0.258
ہنیمون	0.250
خوشگوار	0.242
آزادی	0.242
شادی کرو	0.242
اوپیرا	0.242
چاند	0.234
امید ہے	0.234
تالاب	0.234
تشخیص کے	0.234
ٹرافی	0.234
چھوڑ دو	0.234
جلوس	0.227
پلاسٹک	0.227
معاہدہ	0.227
شیرش	0.219
اچھی	0.219
خریداری	0.219
موسیقی	0.219
شیل	0.211
ڈان کی	0.211
آسان	0.211
پاکیزگی	0.203
منسوخ کریں	0.203
پیسہ	0.203
میٹھی	0.203
اخلاقیات	0.203
ناقابل یقین	0.195
مطابقت پذیری	0.195
محافظ	0.195
انسانی حقوق	0.195
قیمتی	0.195
فرض ہے	0.188
واحد طور پر	0.188
پریشان	0.180
دعا کرو	0.180
گریجویشن	0.180
خوبصورت	0.180
سورج	0.172
آرٹ	0.172
منہ	0.172
پیاس	0.172
نوجوان	0.164
نیکی	0.164
زیادہ سے زیادہ	0.156
ویزا	0.156
مشق	0.156
طے شدہ	0.156
وفاداری	0.148
توقع ہے	0.148
منزل	0.148
وائرلیس	0.148
اقتباس	0.141
سلش	0.141
بچے	0.141
کریم	0.141
کھیل کا میدان	0.133
تنظیم	0.125
سکھائیں	0.125
ووٹ	0.125
مسکراہٹ	0.117
وزن	0.117
ڈالفن	0.117
بہادر	0.109
کیبل	0.109
دھوپ	0.102
مستحکم	0.094
تفریح	0.086
پرامن	0.086
سپا	0.086
درخت	0.078
پکنک	0.078
کیڑا	0.055
